traceID,spanID,starttime,operationName,servicename,podname,childSpanId,childTraceId,duration,http.status_code,container,instance,container_memory_working_set_bytes,container_cpu_usage_seconds_total,trace_length
6fed7946c04f735f,22b3adf93288ef14,2022-07-13T11:40:00.000000,queryForTravel,ts-station-service,ts-station-service-777bd6b4-6gh4t,4e2e8e5b2b1b5030,6fed7946c04f735f,1109355,200,ts-station-service,10.252.1.23:10250,307372032.0,85.796179342,3
d26c0b3fa0538aec,62fdce688b211201,2022-07-13T11:40:00.000000,GET,ts-preserve-service,ts-preserve-service-5cfbb596cb-pjhnv,5c7cdcdfcac0a631,d26c0b3fa0538aec,2000123,200,ts-preserve-service,10.252.1.22:10250,289529856.0,68.375139402,4
147e01a41865a515,c45ce9505ef9aac0,2022-07-13T11:35:00.000000,GET,ts-travel-service,ts-travel-service-5c8fdffbb8-27nvn,39862cf499208438,147e01a41865a515,249825,200,ts-travel-service,10.252.1.22:10250,294211584.0,79.508889628,6
6fed7946c04f735f,eaa8e22578f35a67,2022-07-13T11:40:00.000000,queryForStationId,ts-travel-service,ts-travel-service-5c8fdffbb8-27nvn,ef6d5e731905caf1,6fed7946c04f735f,139911,200,ts-travel-service,10.252.1.22:10250,318533632.0,85.8166057,7
147e01a41865a515,a42c10bfafcf7719,2022-07-13T11:35:00.000000,queryForStationId,ts-ticketinfo-service,ts-ticketinfo-service-5bb968c568-z7hpr,d989955ec2b51ef3,147e01a41865a515,317361,200,ts-ticketinfo-service,10.252.1.21:10250,289566720.0,78.803743593,3
6fed7946c04f735f,1119deb86ad158d4,2022-07-13T11:40:00.000000,GET,ts-route-service,ts-route-service-65d88487b5-dz4zj,33fe590349d6b333,6fed7946c04f735f,60127,200,ts-route-service,10.252.1.23:10250,309194752.0,96.191978285,6
6fed7946c04f735f,b8d115c40b3131a8,2022-07-13T11:40:00.000000,queryForStationId,ts-route-service,ts-route-service-65d88487b5-dz4zj,e506e60b18120d6b,6fed7946c04f735f,93737,200,ts-route-service,10.252.1.23:10250,309194752.0,96.191978285,5
8f72786ed1527741,e8505812cbcba9d3,2022-07-13T11:40:00.000000,GET,ts-food-service,ts-food-service-68dd766676-2fksp,8f72786ed1527741,8f72786ed1527741,800503,200,ts-food-service,10.252.1.22:10250,280252416.0,73.82526358,2
147e01a41865a515,864c4ec111005c28,2022-07-13T11:35:00.000000,retrieve,ts-config-service,ts-config-service-fffbf47d-8z4wk,e2995b5497d2aafe,147e01a41865a515,8400893,200,ts-config-service,10.252.1.22:10250,298242048.0,78.047824297,5
147e01a41865a515,1fd0f425923aeac1,2022-07-13T11:35:00.000000,queryForStationId,ts-station-service,ts-station-service-777bd6b4-6gh4t,378fb79d8d6c6179,147e01a41865a515,179234,200,ts-station-service,10.252.1.23:10250,286142464.0,77.974326065,7
147e01a41865a515,7996295b00f3b6f7,2022-07-13T11:35:00.000000,GET,ts-travel-service,ts-travel-service-5c8fdffbb8-27nvn,39862cf499208438,147e01a41865a515,92047,200,ts-travel-service,10.252.1.22:10250,294211584.0,79.508889628,6
6fed7946c04f735f,4872a9a48558100c,2022-07-13T11:40:00.000000,GET,ts-ticketinfo-service,ts-ticketinfo-service-5bb968c568-z7hpr,39063eb5eaa80d50,6fed7946c04f735f,104605,200,ts-ticketinfo-service,10.252.1.21:10250,307998720.0,81.31858873,6
