traceID,spanID,starttime,operationName,servicename,podname,childSpanId,childTraceId,duration,http.status_code,container,instance,kube_pod_resource_request,container_start_time_seconds,container_processes,container_last_seen,container_threads,container_spec_cpu_period,container_spec_cpu_shares,container_memory_max_usage_bytes,container_memory_working_set_bytes,container_cpu_system_seconds_total,container_ulimits_soft,node_namespace_pod_container:container_memory_working_set_bytes,container_file_descriptors,container_cpu_usage_seconds_total,container_memory_usage_bytes,node_namespace_pod_container:container_memory_rss,container_memory_rss,container_cpu_user_seconds_total,container_threads_max,kube_pod_container_resource_requests,container_fs_usage_bytes,cluster:namespace:pod_memory:active:kube_pod_container_resource_requests,cluster:namespace:pod_cpu:active:kube_pod_container_resource_requests,node_namespace_pod_container:container_cpu_usage_seconds_total:sum_irate,kubelet_container_log_filesystem_used_bytes,container_sockets,container_memory_cache,node_namespace_pod_container:container_memory_cache,container_memory_mapped_file,prober_probe_total,kube_pod_container_info,kube_pod_container_state_started,kube_pod_container_status_ready,kube_pod_resource_limit,kube_pod_container_resource_limits,kube_pod_info,kube_pod_labels,kube_pod_start_time,kube_pod_owner,kube_pod_status_phase,kube_pod_status_ready,container_cpu_cfs_periods_total,cluster:namespace:pod_memory:active:kube_pod_container_resource_limits,cluster:namespace:pod_cpu:active:kube_pod_container_resource_limits,container_spec_cpu_quota,container_spec_memory_limit_bytes,container_spec_memory_swap_limit_bytes,container_cpu_cfs_throttled_seconds_total,container_cpu_cfs_throttled_periods_total,trace_length
713fa2c26b186795,8140916f8217bba3,2022-07-08T07:55:00.000000,GET,ts-route-service,ts-route-service-776b4fc5b7-l6mst,b66a2df2779c6b6a,713fa2c26b186795,92637,200,kube-scheduler,10.252.1.10:10259,0.05,1657258353.0,1.0,1657266762.0,42.0,100000.0,51.0,336334848.0,324931584.0,6.6,1048576.0,324386816.0,44.0,88.584326202,335851520.0,303198208.0,303468544.0,79.98,1024.0,0.05,114688.0,167772160.0,0.05,0.0005802348999997283,131072.0,9.0,27033600.0,27033600.0,,19.0,1.0,1657258355.0,1.0,0.2,0.2,1.0,1.0,1657258329.0,1.0,1.0,1.0,19716.0,524288000.0,0.2,20000.0,524288000.0,524288000.0,429.465296852,3430.0,8
b760e723236bf631,b760e723236bf631,2022-07-08T07:55:00.000000,updateConsign,ts-consign-service,ts-consign-service-77dd4d6fcf-mzlwt,,,326907,200,kube-scheduler,10.252.1.10:10259,0.05,1657258337.0,1.0,1657266762.0,42.0,100000.0,51.0,361881600.0,349253632.0,6.6,1048576.0,349270016.0,41.0,73.971127411,361345024.0,327938048.0,327938048.0,66.39,1024.0,0.05,77824.0,167772160.0,0.05,0.0011035586333330608,45056.0,7.0,28925952.0,28925952.0,,16.0,1.0,1657258343.0,1.0,0.2,0.2,1.0,1.0,1657258327.0,1.0,1.0,1.0,18907.0,524288000.0,0.2,20000.0,524288000.0,524288000.0,305.497650526,2811.0,1
762fb8793276d273,39c060f0b087ace1,2022-07-08T07:55:00.000000,GET,ts-travel-service,ts-travel-service-78d9594678-jc2cx,762fb8793276d273,762fb8793276d273,168377,200,kube-scheduler,10.252.1.10:10259,0.05,1657258356.0,1.0,1657266762.0,42.0,100000.0,51.0,343027712.0,326418432.0,6.82,1048576.0,325988352.0,47.0,86.759855521,337801216.0,304386048.0,305061888.0,78.37,1024.0,0.05,249856.0,167772160.0,0.05,0.0009267308333335223,458752.0,13.0,27709440.0,27709440.0,,19.0,1.0,1657258358.0,1.0,0.2,0.2,1.0,1.0,1657258330.0,1.0,1.0,1.0,19884.0,524288000.0,0.2,20000.0,524288000.0,524288000.0,461.384953269,3405.0,2
127b8d6f46e406d1,2728a465245c0aa8,2022-07-08T08:00:00.000000,GET,ts-food-service,ts-food-service-549b8f75db-lx9r5,127b8d6f46e406d1,127b8d6f46e406d1,197962,200,kube-scheduler,10.252.1.10:10259,0.05,1657258353.0,1.0,1657267062.0,42.0,100000.0,51.0,337035264.0,325173248.0,6.52,1048576.0,325181440.0,44.0,80.971779042,335994880.0,304685056.0,304685056.0,72.99,1024.0,0.05,77824.0,167772160.0,0.05,0.0011604920333335637,45056.0,9.0,24870912.0,24870912.0,,17.0,1.0,1657258355.0,1.0,0.2,0.2,1.0,1.0,1657258328.0,1.0,1.0,1.0,20217.0,524288000.0,0.2,20000.0,524288000.0,524288000.0,302.009682706,2966.0,2
5b3554e968d927d1,39ad1deb7018ef5b,2022-07-08T07:55:00.000000,GET,ts-inside-payment-service,ts-inside-payment-service-794799fbff-6fm5t,5b3554e968d927d1,5b3554e968d927d1,93739,200,kube-scheduler,10.252.1.10:10259,0.05,1657258351.0,1.0,1657266762.0,42.0,100000.0,51.0,326045696.0,315129856.0,6.41,1048576.0,315203584.0,41.0,79.998968983,324829184.0,297062400.0,297062400.0,71.16,1024.0,0.05,73728.0,167772160.0,0.05,0.0011554687000000286,40960.0,7.0,22437888.0,22573056.0,,19.0,1.0,1657258352.0,1.0,0.2,0.2,1.0,1.0,1657258328.0,1.0,1.0,1.0,19851.0,524288000.0,0.2,20000.0,524288000.0,524288000.0,357.830210777,3152.0,2
80b4980e1912e6a1,80b4980e1912e6a1,2022-07-08T07:55:00.000000,updateConsign,ts-consign-service,ts-consign-service-77dd4d6fcf-mzlwt,,,107795,200,kube-scheduler,10.252.1.10:10259,0.05,1657258337.0,1.0,1657266762.0,42.0,100000.0,51.0,361881600.0,349253632.0,6.6,1048576.0,349270016.0,41.0,73.971127411,361345024.0,327938048.0,327938048.0,66.39,1024.0,0.05,77824.0,167772160.0,0.05,0.0011035586333330608,45056.0,7.0,28925952.0,28925952.0,,16.0,1.0,1657258343.0,1.0,0.2,0.2,1.0,1.0,1657258327.0,1.0,1.0,1.0,18907.0,524288000.0,0.2,20000.0,524288000.0,524288000.0,305.497650526,2811.0,1
0218f9c39359b86f,0ce0021672c33653,2022-07-08T07:20:00.000000,DELETE,ts-admin-route-service,ts-admin-route-service-6dbb64c6d5-9xfgt,0218f9c39359b86f,0218f9c39359b86f,13564,200,kube-scheduler,10.252.1.10:10259,0.05,1657258335.0,1.0,1657264662.0,40.0,100000.0,51.0,329580544.0,320270336.0,4.87,1048576.0,320270336.0,40.0,62.872811479,329056256.0,304115712.0,304115712.0,57.31,1024.0,0.05,65536.0,167772160.0,0.05,0.0005371616882248906,32768.0,5.0,19464192.0,19464192.0,,12.0,1.0,1657258337.0,1.0,0.2,0.2,1.0,1.0,1657258326.0,1.0,1.0,1.0,13277.0,524288000.0,0.2,20000.0,524288000.0,524288000.0,304.201071831,2562.0,2
12424aafd835ae16,31318ed0c6e518aa,2022-07-08T07:20:00.000000,GET,ts-admin-order-service,ts-admin-order-service-b4d554964-rd5ts,12424aafd835ae16,12424aafd835ae16,100443,200,kube-scheduler,10.252.1.10:10259,0.05,1657258335.0,1.0,1657264662.0,40.0,100000.0,51.0,331071488.0,322146304.0,5.12,1048576.0,322146304.0,40.0,65.51246405,330182656.0,305586176.0,305586176.0,59.45,1024.0,0.05,163840.0,167772160.0,0.05,0.006335163921855915,131072.0,5.0,18382848.0,18382848.0,,14.0,1.0,1657258337.0,1.0,0.2,0.2,1.0,1.0,1657258326.0,1.0,1.0,1.0,13959.0,524288000.0,0.2,20000.0,524288000.0,524288000.0,333.532186473,2708.0,2
762fb8793276d273,54f342604bcaa06b,2022-07-08T07:55:00.000000,queryById,ts-route-service,ts-route-service-776b4fc5b7-l6mst,a1da66bae5ddf94e,762fb8793276d273,92802,200,kube-scheduler,10.252.1.10:10259,0.05,1657258353.0,1.0,1657266762.0,42.0,100000.0,51.0,336334848.0,324931584.0,6.6,1048576.0,324386816.0,44.0,88.584326202,335851520.0,303198208.0,303468544.0,79.98,1024.0,0.05,114688.0,167772160.0,0.05,0.0005802348999997283,131072.0,9.0,27033600.0,27033600.0,,19.0,1.0,1657258355.0,1.0,0.2,0.2,1.0,1.0,1657258329.0,1.0,1.0,1.0,19716.0,524288000.0,0.2,20000.0,524288000.0,524288000.0,429.465296852,3430.0,7
71161e4a226afb98,abf84cfe5fb21cc7,2022-07-08T07:50:00.000000,queryForStationId,ts-station-service,ts-station-service-65b55b7cf4-vwvkk,2c9c8a39b370250e,71161e4a226afb98,14809,200,kube-scheduler,10.252.1.10:10259,0.05,1657258345.0,1.0,1657266462.0,42.0,100000.0,51.0,354091008.0,343781376.0,6.41,1048576.0,343777280.0,42.0,87.025295489,353230848.0,329150464.0,329150464.0,78.79,1024.0,0.05,106496.0,167772160.0,0.05,0.001090224418254909,73728.0,7.0,19599360.0,19599360.0,,17.0,1.0,1657258347.0,1.0,0.2,0.2,1.0,1.0,1657258330.0,1.0,1.0,1.0,19518.0,524288000.0,0.2,20000.0,524288000.0,524288000.0,312.668985903,3204.0,5
