traceID,spanID,starttime,operationName,servicename,podname,childSpanId,childTraceId,duration,http.status_code,container,instance,container_cpu_usage_seconds_total,container_memory_working_set_bytes,trace_length
ecc294f4fe9662e8,1ba7738f8aecd456,2022-07-13T10:15:00.000000,POST,ts-user-service,ts-user-service-65bb455fd9-trf5b,ecc294f4fe9662e8,ecc294f4fe9662e8,717366,201,ts-user-service,10.252.1.21:10250,83.445293481,286236672.0,2
c79486676a6a1371,128ceca1d8ab195c,2022-07-13T10:10:00.000000,GET,ts-travel-service,ts-travel-service-f6bbd6b76-tw6wx,c79486676a6a1371,c79486676a6a1371,193193,200,ts-travel-service,10.252.1.21:10250,95.842189416,302157824.0,2
58663a90e5c893c5,f9292e3f641fa074,2022-07-13T10:10:00.000000,GET,ts-price-service,ts-price-service-77fbb6bd5c-kw6dk,084f45ce97acb082,58663a90e5c893c5,90321,200,ts-price-service,10.252.1.22:10250,83.8423791,332025856.0,6
ff3555e224a5776a,2985a477437d0657,2022-07-13T10:45:00.000000,GET,ts-config-service,ts-config-service-7d5798457d-kxl74,8c20a57230c29845,ff3555e224a5776a,386622,200,ts-config-service,10.252.1.23:10250,94.999473947,326893568.0,6
58663a90e5c893c5,108f932421a17316,2022-07-13T10:10:00.000000,GET,ts-seat-service,ts-seat-service-57bd448567-dtxjp,6b284c9ffbc186a5,58663a90e5c893c5,20860,200,ts-seat-service,10.252.1.21:10250,86.987899626,306438144.0,6
57d76b6a4dd47571,5483906be1d79d06,2022-07-13T10:15:00.000000,create,ts-admin-basic-info-service,ts-admin-basic-info-service-84db9fc8fb-nl55r,e21c769db9f02712,57d76b6a4dd47571,37079,201,ts-admin-basic-info-service,10.252.1.23:10250,77.475404656,294985728.0,3
ba17990206955345,0405f2d3b9c3475a,2022-07-13T10:45:00.000000,getRouteByTripId,ts-route-service,ts-route-service-7487b7b9-457v2,b3016bddb0fbb353,ba17990206955345,152855,200,ts-route-service,10.252.1.22:10250,95.204174061,359342080.0,5
ba17990206955345,e9f5494ce75e5e35,2022-07-13T10:45:00.000000,getRouteByTripId,ts-route-service,ts-route-service-7487b7b9-457v2,ce5d1d790e42e8f8,ba17990206955345,288729,200,ts-route-service,10.252.1.22:10250,95.204174061,359342080.0,5
58663a90e5c893c5,94ec4f7d200959f0,2022-07-13T10:10:00.000000,getContactsByContactsId,ts-train-service,ts-train-service-58bd787df8-9xfcv,8beac3940ec54a74,58663a90e5c893c5,73317,200,ts-train-service,10.252.1.21:10250,91.0029702,289488896.0,3
c79486676a6a1371,704fab686821895e,2022-07-13T10:10:00.000000,GET,ts-seat-service,ts-seat-service-57bd448567-dtxjp,13b393dcd27d5085,c79486676a6a1371,105323,200,ts-seat-service,10.252.1.21:10250,86.987899626,306438144.0,4
