traceID,spanID,starttime,operationName,servicename,podname,childSpanId,childTraceId,duration,http.status_code,container,instance,node_namespace_pod_container:container_memory_working_set_bytes,container_memory_working_set_bytes,container_cpu_usage_seconds_total,node_namespace_pod_container:container_cpu_usage_seconds_total:sum_irate
11c0ae4228627a7a,bb79644fdf7527ce,2022-07-11T13:15:00.000000,GET,ts-security-service,ts-security-service-56f94556cf-grrvm,745bd0aa0280c447,11c0ae4228627a7a,98440,200,ts-security-service,10.252.1.23:10250,314486784.0,314490880.0,90.234431011,0.0018313325320513738
2cecc59d070e8e41,2cecc59d070e8e41,2022-07-11T13:10:00.000000,getToken,ts-auth-service,ts-auth-service-798b89fb79-45bns,,,805724,200,ts-auth-service,10.252.1.23:10250,296443904.0,296448000.0,80.143847564,0.0009739371666668717
dcd41ba12cad1d24,3349a926a11c1f7c,2022-07-11T12:50:00.000000,GET,ts-order-other-service,ts-order-other-service-5c864785f8-hzn6r,1d5f7f7f01ba4f20,dcd41ba12cad1d24,13541,200,ts-order-other-service,10.252.1.23:10250,323096576.0,323100672.0,96.582965512,0.004285015801580137
dcd41ba12cad1d24,0dfb86898175e0c2,2022-07-11T12:50:00.000000,getRouteByTripId,ts-order-other-service,ts-order-other-service-5c864785f8-hzn6r,ed4aaa12801284f3,dcd41ba12cad1d24,78621,200,ts-order-other-service,10.252.1.23:10250,323096576.0,323100672.0,96.582965512,0.004285015801580137
2dd72146e014554e,5d5db2519fbf458e,2022-07-11T12:45:00.000000,queryForTravel,ts-ticketinfo-service,ts-ticketinfo-service-5897b7c677-wj22k,43d45ba1417e9ecc,2dd72146e014554e,229162,200,ts-ticketinfo-service,10.252.1.23:10250,304807936.0,304812032.0,87.858652974,0.008780748000000452
4c69c97877723688,a7f218751193dcfe,2022-07-11T13:15:00.000000,GET,ts-basic-service,ts-basic-service-7fb9b4c7d7-xtctw,ae76d14742fd2e55,4c69c97877723688,68045,200,ts-basic-service,10.252.1.23:10250,340865024.0,340865024.0,92.563611113,0.0009186733106302218
0f1d8844a3519d75,72895c1435a31a0b,2022-07-11T13:15:00.000000,queryForStationId,ts-route-service,ts-route-service-5f4bbf4f76-85zcp,42a247726e0989b8,0f1d8844a3519d75,78450,200,ts-route-service,10.252.1.23:10250,324710400.0,324734976.0,105.958792654,0.0009351353832801886
bbaedcef3138c06c,6e6f348cb59f0df6,2022-07-11T12:40:00.000000,POST,ts-route-service,ts-route-service-5f4bbf4f76-85zcp,bbaedcef3138c06c,bbaedcef3138c06c,486251,200,ts-route-service,10.252.1.23:10250,321699840.0,321703936.0,99.856226802,0.0015411034425301812
4c69c97877723688,983f3ae58ba8abab,2022-07-11T13:15:00.000000,query,ts-train-service,ts-train-service-678b9f78f5-m7k8g,f594ca55d865ac92,4c69c97877723688,7935,200,ts-train-service,10.252.1.23:10250,307814400.0,307875840.0,100.588406167,0.0016374127938036144
ac36ab323e65e651,a1fb290761a763c2,2022-07-11T12:45:00.000000,GET,ts-route-service,ts-route-service-5f4bbf4f76-85zcp,04f57a2f02a2dc19,ac36ab323e65e651,14069,200,ts-route-service,10.252.1.23:10250,322179072.0,322277376.0,101.193696992,0.022430762833333517
a2b9b196a33cad01,1217382ce52ccc30,2022-07-11T13:10:00.000000,GET,ts-route-service,ts-route-service-5f4bbf4f76-85zcp,7a2663663b26f533,a2b9b196a33cad01,6681,200,ts-route-service,10.252.1.23:10250,324640768.0,324644864.0,105.117046335,0.001176640066666342
11c0ae4228627a7a,a76a244f2b1616ae,2022-07-11T13:15:00.000000,queryForStationId,ts-route-service,ts-route-service-5f4bbf4f76-85zcp,326ea08cee712c5c,11c0ae4228627a7a,180624,200,ts-route-service,10.252.1.23:10250,324710400.0,324734976.0,105.958792654,0.0009351353832801886
d4ff0ceb29d4b2f0,a272e8a62e50b42d,2022-07-11T12:45:00.000000,retrieve,ts-station-service,ts-station-service-59769fc4b9-vg4qh,4676744d897d6736,d4ff0ceb29d4b2f0,9055,200,ts-station-service,10.252.1.23:10250,315289600.0,315281408.0,99.456024604,0.018033051366667035
2dd72146e014554e,4849f9f9db0d7a02,2022-07-11T12:50:00.000000,GET,ts-basic-service,ts-basic-service-7fb9b4c7d7-xtctw,649e4741f65a6f9b,2dd72146e014554e,7498,200,ts-basic-service,10.252.1.23:10250,335646720.0,335872000.0,89.423816414,0.007876176650998708
272acb06905f8dfa,85c3fcad5c0dbbac,2022-07-11T12:55:00.000000,queryForStationId,ts-route-service,ts-route-service-5f4bbf4f76-85zcp,86c0526558713089,272acb06905f8dfa,20956,200,ts-route-service,10.252.1.23:10250,323141632.0,323141632.0,103.528461327,0.001225842599999775
d4ff0ceb29d4b2f0,6e82aa5548acbe28,2022-07-11T12:45:00.000000,GET,ts-order-other-service,ts-order-other-service-5c864785f8-hzn6r,41f680c1fecf4fea,d4ff0ceb29d4b2f0,87308,200,ts-order-other-service,10.252.1.23:10250,322891776.0,322887680.0,96.004658241,0.0032630573333330896
803c729aca6856a7,0c0950706183afaf,2022-07-11T13:15:00.000000,POST,ts-contacts-service,ts-contacts-service-59f5c5748b-5mrb6,b88a5ef42cfb91fa,803c729aca6856a7,284813,200,ts-contacts-service,10.252.1.23:10250,309981184.0,310378496.0,92.133504307,0.001130409021100174
