traceID,spanID,starttime,operationName,servicename,podname,childSpanId,childTraceId,duration,http.status_code,container,instance,node_namespace_pod_container:container_memory_working_set_bytes,container_memory_working_set_bytes,container_cpu_usage_seconds_total,node_namespace_pod_container:container_cpu_usage_seconds_total:sum_irate,trace_length
47c71805edb2c306,23a4fce41ca436ce,2022-07-11T16:15:00.000000,POST,ts-order-other-service,ts-order-other-service-594678cb45-fvndt,c93c2fc0bacf5610,47c71805edb2c306,785024,200,ts-order-other-service,10.252.1.23:10250,313823232.0,313827328.0,81.125899635,0.0014388027934262922,6
55bfbfd4a2fd14cc,4c75a60e7073953d,2022-07-11T16:05:00.000000,GET,ts-station-service,ts-station-service-9dc488758-qd7vb,55bfbfd4a2fd14cc,55bfbfd4a2fd14cc,99555,200,ts-station-service,10.252.1.23:10250,317472768.0,317472768.0,90.517929279,0.0017574554349997034,2
cc1ac4005af98836,cc1ac4005af98836,2022-07-11T15:50:00.000000,getAllFood,ts-route-service,ts-route-service-56bc489475-gwqgd,,,856196,200,ts-route-service,10.252.1.23:10250,307236864.0,307793920.0,73.811187128,0.001275785237364228,1
617218cff93474a1,f102dc17a85bbcfa,2022-07-11T15:50:00.000000,GET,ts-basic-service,ts-basic-service-7c8dd8d744-4grr4,617218cff93474a1,617218cff93474a1,100726,200,ts-basic-service,10.252.1.23:10250,355643392.0,356433920.0,73.463072849,0.001394799893169642,2
e689d8980a04c79b,12277c3eed12ad93,2022-07-11T16:05:00.000000,GET,ts-assurance-service,ts-assurance-service-7dbbf86bc-d55bs,f9e7b615fbf68791,e689d8980a04c79b,10663,200,ts-assurance-service,10.252.1.23:10250,300273664.0,300281856.0,79.342702346,0.0013516047726819637,8
41a0554f451699f4,4cffdbe4fbfbd937,2022-07-11T15:50:00.000000,POST,ts-seat-service,ts-seat-service-76b789fdb5-pphjt,d67f4ca4e289f7a0,41a0554f451699f4,11853,200,ts-seat-service,10.252.1.23:10250,301322240.0,301600768.0,73.211884229,0.000927696801762661,4
47c71805edb2c306,d74fe69936d0fb8d,2022-07-11T16:15:00.000000,queryForStationId,ts-order-other-service,ts-order-other-service-594678cb45-fvndt,24dbf25582b772b5,47c71805edb2c306,107222,200,ts-order-other-service,10.252.1.23:10250,313823232.0,313827328.0,81.125899635,0.0014388027934262922,5
c2cd9e124500c273,a1d0606b5ee0b8e8,2022-07-11T15:50:00.000000,GET,ts-preserve-service,ts-preserve-service-66cd65645d-4q7x4,c2cd9e124500c273,c2cd9e124500c273,107234,200,ts-preserve-service,10.252.1.23:10250,287731712.0,287735808.0,67.862832353,0.00113259394404739,2
138fd32e1386263e,138fd32e1386263e,2022-07-11T16:15:00.000000,getPriceByWeightAndRegion,ts-consign-price-service,ts-consign-price-service-568485697f-z5h2j,,,26815,200,ts-consign-price-service,10.252.1.23:10250,316223488.0,316387328.0,83.198778666,0.001241672955765493,1
f2b31003677c62c3,ed156eee1f1b023e,2022-07-11T15:50:00.000000,GET,ts-station-service,ts-station-service-9dc488758-qd7vb,0c8566197e3c0117,f2b31003677c62c3,8058,200,ts-station-service,10.252.1.23:10250,314445824.0,314720256.0,85.413375324,0.0012740241370102858,6
5da78d9d517af2b4,0c6317f3345d5a59,2022-07-11T15:50:00.000000,queryForStationId,ts-basic-service,ts-basic-service-7c8dd8d744-4grr4,55a4194be9ae8332,5da78d9d517af2b4,188098,200,ts-basic-service,10.252.1.23:10250,355643392.0,356433920.0,73.463072849,0.001394799893169642,3
47c71805edb2c306,0eef06db8b0b1647,2022-07-11T16:15:00.000000,GET,ts-price-service,ts-price-service-5b84c98fc5-mcd8f,4a0e15ed69a019fd,47c71805edb2c306,87375,200,ts-price-service,10.252.1.23:10250,306835456.0,306835456.0,81.009153102,0.0018465095169838824,6
5da78d9d517af2b4,02e534bd35603d47,2022-07-11T15:50:00.000000,GET,ts-ticketinfo-service,ts-ticketinfo-service-5b969db86b-6zfwx,9fbb5bbab28d9dc2,5da78d9d517af2b4,94987,200,ts-ticketinfo-service,10.252.1.23:10250,297508864.0,298942464.0,71.878457957,0.0010688431261264425,6
133116299909877c,577818fdae0c1420,2022-07-11T15:45:00.000000,queryForStationId,ts-station-service,ts-station-service-9dc488758-qd7vb,68bafe97cefd5b29,133116299909877c,12141,200,ts-station-service,10.252.1.23:10250,314544128.0,314421248.0,84.724013938,0.0011647209077899699,7
133116299909877c,6cbb3af81f4ca6fe,2022-07-11T15:45:00.000000,GET,ts-basic-service,ts-basic-service-7c8dd8d744-4grr4,54d5d82a4582ef09,133116299909877c,108525,200,ts-basic-service,10.252.1.23:10250,355577856.0,355577856.0,72.359636616,0.001018058567102674,6
133116299909877c,9d51bcd1fb9fd431,2022-07-11T15:45:00.000000,queryForStationId,ts-ticketinfo-service,ts-ticketinfo-service-5b969db86b-6zfwx,ab339d3b6a629a42,133116299909877c,106900,200,ts-ticketinfo-service,10.252.1.23:10250,297385984.0,297385984.0,70.550341582,0.0010526295630762018,3
fc9c8c304a30bb0a,98497bc67d7f9b83,2022-07-11T15:50:00.000000,GET,ts-travel-service,ts-travel-service-6844bc57d6-sskgm,dceac7b4e89a471a,fc9c8c304a30bb0a,95792,200,ts-travel-service,10.252.1.23:10250,311287808.0,311848960.0,79.129608193,0.0013656316351742812,8
c2cd9e124500c273,0c2b72290a8b51de,2022-07-11T15:50:00.000000,GET,ts-station-service,ts-station-service-9dc488758-qd7vb,5d4bb0d490795cdd,c2cd9e124500c273,99944,200,ts-station-service,10.252.1.23:10250,314445824.0,314720256.0,85.413375324,0.0012740241370102858,6
5da78d9d517af2b4,cbd900521b451966,2022-07-11T15:50:00.000000,GET,ts-seat-service,ts-seat-service-76b789fdb5-pphjt,b172512b43877d49,5da78d9d517af2b4,16235,200,ts-seat-service,10.252.1.23:10250,301322240.0,301600768.0,73.211884229,0.000927696801762661,4
