traceID,spanID,starttime,operationName,servicename,podname,childSpanId,childTraceId,duration,http.status_code,container,instance,container_memory_working_set_bytes,container_cpu_usage_seconds_total,trace_length
e67d3e28c0654d2e,95d7fbae184c1d8e,2022-07-12T14:25:00.000000,GET,ts-route-service,ts-route-service-6f8b494cf5-fck6c,1371a05a7fce5737,e67d3e28c0654d2e,768251,200,ts-route-service,10.252.1.23:10250,299507712.0,82.090152273,6
e67d3e28c0654d2e,b977a728d4b85ffa,2022-07-12T14:25:00.000000,retrieve,ts-train-service,ts-train-service-7b7458fbc6-xbnwh,5799a13071d94a1c,e67d3e28c0654d2e,40050,200,ts-train-service,10.252.1.22:10250,312008704.0,77.470540454,9
a43774d7df1d5741,cecd2155dee07c30,2022-07-12T14:20:00.000000,queryForStationId,ts-basic-service,ts-basic-service-5fb55954d-xzwxv,431fc156d54512c0,a43774d7df1d5741,797993,200,ts-basic-service,10.252.1.22:10250,290570240.0,70.184228834,3
a009bc261fe13464,9a0e3f8e2a1a8a29,2022-07-12T14:25:00.000000,POST,ts-seat-service,ts-seat-service-76bf47b74f-lk5b8,5e79ceb3181a8518,a009bc261fe13464,1103138,200,ts-seat-service,10.252.1.22:10250,294678528.0,82.123803937,4
f82e97d360466cc8,3cf4657fec79fa81,2022-07-12T14:25:00.000000,queryForStationId,ts-ticketinfo-service,ts-ticketinfo-service-8648878f58-pq9db,5093289239135095,f82e97d360466cc8,205373,200,ts-ticketinfo-service,10.252.1.22:10250,302202880.0,76.033267223,5
eba5a3617d53a2c7,a34dca8d891d9317,2022-07-12T14:30:00.000000,updateConfig,ts-admin-basic-info-service,ts-admin-basic-info-service-8fffd9b6-6dl4n,1915db4cab98965d,eba5a3617d53a2c7,106100,200,ts-admin-basic-info-service,10.252.1.22:10250,290213888.0,69.933888749,3
e67d3e28c0654d2e,3f15058490e4188b,2022-07-12T14:25:00.000000,GET,ts-ticketinfo-service,ts-ticketinfo-service-8648878f58-pq9db,e67d3e28c0654d2e,e67d3e28c0654d2e,15745,200,ts-ticketinfo-service,10.252.1.22:10250,302202880.0,76.033267223,2
5cc48d4250aa639c,f0c9c536e9d9ee45,2022-07-12T14:25:00.000000,queryForStationId,ts-ticketinfo-service,ts-ticketinfo-service-8648878f58-pq9db,b7abf484cbd0b279,5cc48d4250aa639c,184584,200,ts-ticketinfo-service,10.252.1.22:10250,302202880.0,76.033267223,3
0b4cade05161e76c,0109644192f85cfe,2022-07-12T14:25:00.000000,retrieve,ts-train-service,ts-train-service-7b7458fbc6-xbnwh,7b0241de33b6f899,0b4cade05161e76c,183849,200,ts-train-service,10.252.1.22:10250,312008704.0,77.470540454,7
d3e9a67670f217b4,47517c28e73093f4,2022-07-12T14:20:00.000000,calculateSoldTicket,ts-order-other-service,ts-order-other-service-85cd79cd8f-7clqk,fa180a2bc898c937,d3e9a67670f217b4,170434,200,ts-order-other-service,10.252.1.23:10250,308830208.0,91.817892366,3
